Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,124.400002,125.220001,123.000000,124.160004,119.949211,1330270
2019-12-13,126.839996,127.360001,124.839996,125.900002,121.630203,1716714
2019-12-16,127.000000,129.320007,126.559998,129.220001,124.837616,1551759
2019-12-17,131.199997,132.000000,129.139999,131.500000,127.040283,2058897
2019-12-18,131.479996,132.240005,130.360001,130.720001,126.286736,1724054
2019-12-19,130.839996,130.880005,129.520004,130.820007,126.383347,1293684
2019-12-20,130.740005,132.500000,130.160004,131.880005,127.407402,2250131
2019-12-23,132.199997,133.279999,131.199997,132.779999,128.276871,779143
2019-12-24,133.139999,133.539993,132.320007,133.139999,128.624664,214381
2019-12-25,133.139999,133.139999,133.139999,133.139999,128.624664,0
2019-12-27,133.479996,134.880005,132.759995,133.279999,128.759903,693498
2019-12-30,133.119995,133.419998,129.960007,130.000000,125.591156,847345
2019-12-31,129.880005,130.960007,129.240005,130.479996,126.054871,272778
2020-01-02,132.580002,135.720001,132.020004,133.520004,128.991776,1254852
2020-01-03,132.179993,134.039993,131.820007,134.039993,129.494125,830258
2020-01-06,132.679993,133.820007,131.759995,133.460007,128.933823,719626
2020-01-07,134.000000,134.380005,131.820007,132.000000,127.523331,976037
2020-01-08,131.500000,134.919998,130.500000,134.380005,129.822601,1281161
2020-01-09,135.619995,135.880005,133.820007,134.919998,130.344299,815627
2020-01-10,134.919998,135.020004,134.080002,134.419998,129.861237,649571
2020-01-13,134.399994,136.279999,134.399994,135.119995,130.537506,1024311
2020-01-14,135.119995,136.000000,133.139999,135.100006,130.518204,1236698
2020-01-15,135.160004,136.000000,133.179993,134.259995,129.706680,881425
2020-01-16,134.199997,135.619995,133.300003,133.399994,128.875839,912337
2020-01-17,134.479996,137.199997,134.479996,136.779999,132.141220,1061143
2020-01-20,136.800003,138.259995,136.179993,137.899994,133.223221,706794
2020-01-21,137.000000,137.000000,135.919998,136.399994,131.774109,817707
2020-01-22,137.399994,139.320007,137.139999,137.979996,133.300522,1191568
2020-01-23,138.000000,138.139999,135.619995,135.800003,131.194458,985427
2020-01-24,137.179993,139.399994,137.100006,139.000000,134.285934,1462261
2020-01-27,135.020004,137.279999,132.839996,132.899994,128.392792,1804728
2020-01-28,136.000000,136.899994,133.720001,134.240005,129.687363,1433803
2020-01-29,134.679993,136.979996,133.839996,136.559998,131.928665,1045204
2020-01-30,134.720001,135.479996,133.539993,134.500000,129.938538,1090153
2020-01-31,135.080002,136.179993,133.179993,133.240005,128.721268,1207948
2020-02-03,133.639999,134.080002,132.960007,133.679993,129.146347,753424
2020-02-04,134.580002,138.000000,134.000000,138.000000,133.319839,1125014
2020-02-05,137.320007,138.460007,136.160004,136.880005,132.237839,1471991
2020-02-06,137.660004,137.839996,136.360001,137.000000,132.353745,840490
2020-02-07,137.020004,137.919998,136.380005,136.779999,132.141220,905844
